code,value_from,value_to,message,n
DUPLICATE_LOCATION,"c(374855.573299911, 5820835.73389959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374858.959899911, 5820840.66579959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374861.55989991, 5820843.40249959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374862.45469991, 5820844.86439959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(374868.093199911, 5820865.53009959)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376163.080199915, 5824663.8363996)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376258.997399915, 5821714.2446996)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376379.246699916, 5815006.8647996)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376444.204799916, 5815117.1811996)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376470.861199916, 5815206.5069996)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376481.885799916, 5815206.6132996)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376483.918699916, 5815207.2436996)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376528.889499916, 5824750.60779961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376833.463999917, 5824276.31979961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376839.593899917, 5824286.05609961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376841.950099917, 5824283.58439961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376844.785899917, 5824284.15629961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376847.707399917, 5824259.31579961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376850.884999917, 5824289.47079961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376853.525299917, 5824288.68059961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376854.060299918, 5824229.88559961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376861.237499917, 5824274.81629961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376862.355399917, 5824293.60459961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376868.598399917, 5824226.18249961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376868.797299917, 5824154.23709961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376869.091299918, 5824266.57739961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376870.256699917, 5824215.20449961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376872.500999918, 5824261.60949961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376872.814599918, 5824233.55469961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376874.327099918, 5824232.79289961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376877.924899918, 5824284.44769961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376878.899199917, 5824215.87149961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376879.598799917, 5824240.46029961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376880.480599918, 5824283.49889961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376880.610599918, 5824229.41819961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376883.042199918, 5824217.13419961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376883.192999918, 5824232.73059961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376884.488499918, 5824282.59389961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376884.630699917, 5824248.21399961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376886.528299918, 5824214.71449961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376887.800299918, 5824289.26509961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376888.602199917, 5824245.86249961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376889.575999918, 5824255.72869961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376892.377099918, 5824232.49939961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376893.693999918, 5824211.15679961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376896.111899917, 5823985.54659961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376897.528999918, 5824251.42749961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376898.719299918, 5824250.67389961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376901.435799918, 5824227.28579961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376902.769299917, 5824248.23999961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376904.682499918, 5824247.38769961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376907.482999918, 5824256.16259961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376907.552499918, 5823980.34909961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376908.741099918, 5824587.11229961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376908.934099918, 5824265.77549961)",NA,duplicate location flag added,2
DUPLICATE_LOCATION,"c(376909.602499918, 5824244.28859961)",NA,duplicate location flag added,2
